Problem,Dim,Time,Alg1,Alg2,Winner,F1,F2
ackley,251,51.2,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,0,1.2926193448947743e-10,1.9552739596157136
griewank,34,7.8,de_rand_2_bin,probabilistic_descent,0,0.0,1.021405182655144e-14
rastrigin,23,5.6,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
griewank,14,3.8,random_search,de_rand_2_bin,1,40.27854149554508,0.0
ackley,107,22.4,random_search,probabilistic_descent,1,20.49920768318679,19.09664650276594
ackley,19,4.8,probabilistic_descent,random_search,0,7.924090172458394,16.219245965283086
rosenbrock,11,3.2,random_search,de_rand_2_bin,1,386240.43214936124,0.0
rastrigin,204,41.8,random_search,de_rand_2_bin,1,3043.275575296567,2471.7466917997795
ackley,41,9.2,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,3.552713678800501e-15,1.098996449400147e-10
griewank,11,3.2,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,0.10413163914802515,0.0
ackley,50,11.0,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,2.001172560994746e-9,3.552713678800501e-15
rastrigin,47,10.4,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,329.68211107487855,1.9899181141864801
griewank,27,6.4,de_rand_2_bin,probabilistic_descent,0,0.0,4.107825191113079e-15
ackley,16,4.2,probabilistic_descent,generating_set_search,1,7.458359630822793,8.956746455623943e-11
rastrigin,9,2.8,probabilistic_descent,de_rand_2_bin,1,6.96470836183444,0.0
griewank,166,34.2,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
griewank,281,57.2,generating_set_search,random_search,0,2.220446049250313e-16,6082.2012384322215
rosenbrock,47,10.4,random_search,adaptive_de_rand_1_bin_radiuslimited,1,1.6437372562666875e8,1.155804485665223e-28
rastrigin,6,2.2,generating_set_search,probabilistic_descent,0,0.0,0.994959057093368
deceptive_cuccu2011_15_2,74,15.8,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,6.310887241768095e-30,3568.8343931941045
rosenbrock,47,10.4,random_search,generating_set_search,1,1.4097350703559753e8,7.589744818330058e-16
rosenbrock,123,25.6,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,8.608274261977838e-16,3.6171737694712207e-28
ackley,55,12.0,random_search,adaptive_de_rand_1_bin_radiuslimited,1,19.833381113607736,3.552713678800501e-15
rastrigin,9,2.8,random_search,generating_set_search,1,28.633894104450007,0.0
rastrigin,12,3.4,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
rastrigin,204,41.8,generating_set_search,probabilistic_descent,0,4.774847184307873e-12,1444.6724052005497
deceptive_cuccu2011_15_2,62,13.4,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,0.0,2.678183479176959e-18
griewank,34,7.8,generating_set_search,random_search,0,0.0,325.1333436225243
deceptive_cuccu2011_15_2,15,4.0,random_search,probabilistic_descent,1,1477.4908819397122,6.630471612040993e-20
deceptive_cuccu2011_15_2,32,7.4,probabilistic_descent,random_search,0,7.512241179837319e-19,13930.25409751366
rosenbrock,262,53.4,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,2.696260014174518e8,0.07917755922588376
rastrigin,14,3.8,probabilistic_descent,random_search,0,19.899140793877336,85.59526286002743
rastrigin,162,33.4,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,1862.7408337122852,103.47569155950828
rosenbrock,44,9.8,probabilistic_descent,random_search,0,1.9420676504713225e-11,1.3833700953448907e8
rosenbrock,15,4.0,random_search,probabilistic_descent,1,2.1010303713777387e6,5.01874984234352e-12
rastrigin,71,15.2,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,6.964713399652737,629.6830839272959
rastrigin,281,57.2,generating_set_search,random_search,0,2.3646862246096134e-11,4306.965183061783
ackley,29,6.8,probabilistic_descent,random_search,0,17.071898761763634,18.71690657737189
