N,PriorParam,Time,NumBadRhat,MaxRhatDiff,PsisLoo_elpd,PsisLoo_peff,prob_ADE_vs_GSS,std_ADE_vs_GSS
10,0.1,0.4563469886779785,1,0.03752480071362241,-6.844412277438367,0.09703673556724113,0.51,0.5
10,0.5,0.2240309715270996,3,0.04317548361877188,-6.092670057241632,1.0183998904247558,0.57,0.49
10,1.0,0.18745017051696777,1,0.015095552756956288,-5.576432112493248,1.4638439754979808,0.63,0.48
10,5.0,0.2633228302001953,0,0.008070292427130532,-5.069541994640069,2.1050376076957,0.7,0.46
20,0.1,0.23076105117797852,1,0.02096229243950476,-13.491150974850314,0.27468363476716395,0.51,0.5
20,0.5,0.157181978225708,0,0.009112529264113878,-10.630986541891215,1.696194027010106,0.58,0.49
20,1.0,0.12765908241271973,0,0.0025588694289970793,-9.760169068489612,1.9814487629390602,0.61,0.49
20,5.0,0.2578468322753906,0,0.006673660320518415,-8.882398468493085,2.2365041998436053,0.62,0.49
30,0.1,0.4809081554412842,1,0.013012330042810882,-17.09257803976047,1.2828773364650456,0.54,0.5
30,0.5,0.16191506385803223,0,0.0014818779082672595,-11.769987289723149,2.048256096218752,0.6,0.49
30,1.0,0.1969759464263916,0,0.002565696518819216,-11.397149823849388,2.4046744621191083,0.6,0.49
30,5.0,0.3326849937438965,0,0.002920059369805328,-11.044001914847941,2.866905875851456,0.63,0.48
40,0.1,0.23321914672851562,0,0.003094707092010429,-20.73916543436909,1.823529048973627,0.54,0.5
40,0.5,0.16727495193481445,0,0.001498611958596241,-17.29515289682293,2.6030867122557346,0.55,0.5
40,1.0,0.16933798789978027,0,0.0023490184079753007,-17.107765746410543,2.8999743844462786,0.56,0.5
40,5.0,0.24897289276123047,0,0.003455182194150863,-16.976359232817394,3.2549098727414076,0.56,0.5
50,0.1,0.22218608856201172,4,0.02307621977709129,-22.802959678521507,2.021335120055339,0.48,0.5
50,0.5,0.18316006660461426,0,0.0016683359157099176,-18.989437219761346,2.511881340768076,0.47,0.5
50,1.0,0.18013620376586914,0,0.0010702226528152003,-18.719542671142865,2.870598786137517,0.47,0.5
50,5.0,0.2694129943847656,0,0.00665558431940827,-18.78836312410818,3.532429289137462,0.47,0.5
60,0.1,0.16306400299072266,0,0.0008690555796937449,-24.32971839555055,1.9628671290273834,0.47,0.5
60,0.5,0.15531396865844727,0,0.001309791904562374,-21.89129028541103,2.756543785680927,0.47,0.5
60,1.0,0.2254040241241455,0,0.0020534073086406757,-21.67034950575639,2.992664983621623,0.47,0.5
60,5.0,0.26645493507385254,0,0.003954855965414561,-21.369167819826508,3.2379653118337357,0.46,0.5
70,0.1,0.18266582489013672,0,0.00067816988913183,-27.085228988836224,2.0416251053494974,0.52,0.5
70,0.5,0.19034910202026367,0,0.0015495908569909123,-24.4828771256185,2.7437601709945283,0.51,0.5
70,1.0,0.19855904579162598,0,0.003108172017014077,-24.22066155332035,2.993583375473531,0.52,0.5
70,5.0,0.3604550361633301,0,0.003268204748693604,-24.069083864319538,3.335358369212044,0.51,0.5
80,0.1,0.1564629077911377,0,0.001204886060109489,-28.648548646479547,2.0940428848917323,0.55,0.5
80,0.5,0.2028050422668457,0,0.001725355870853651,-26.143809929885382,2.684628267334655,0.54,0.5
80,1.0,0.22440409660339355,0,0.0030897835301977317,-25.919535407826157,3.000015139511783,0.54,0.5
80,5.0,0.3754920959472656,0,0.001530103638417435,-25.639218270842274,3.1994027108968712,0.54,0.5
90,0.1,0.17073392868041992,0,0.0016342255108574566,-29.29668376805964,2.112642683968317,0.55,0.5
90,0.5,0.27059006690979004,0,0.002180756899469616,-26.908545158048714,2.7237678568385424,0.57,0.5
90,1.0,0.315871000289917,0,0.002198437182819424,-26.6363180744284,2.950534511212039,0.57,0.5
90,5.0,0.3942561149597168,0,0.003389917947506982,-26.406331537219902,3.184469049751888,0.57,0.49
100,0.1,0.17765092849731445,0,0.0007559162288255372,-29.648989647204658,2.115547711851888,0.57,0.5
100,0.5,0.3231639862060547,0,0.001082497300324503,-27.179515654164536,2.7047386788991092,0.57,0.49
100,1.0,0.3468031883239746,0,0.0022209124103274025,-27.01072096949532,3.013363292264588,0.57,0.5
100,5.0,0.4559948444366455,0,0.004050159983672197,-26.933460165881602,3.40596079853485,0.57,0.49
150,0.1,0.30859804153442383,0,0.0003544019270085297,-39.288661392499556,2.2534049031789305,0.62,0.49
150,0.5,0.4086029529571533,0,0.0017068651051423966,-37.26558509292725,2.7481046037138706,0.63,0.48
150,1.0,0.4367668628692627,0,0.0021501888780901535,-37.041859312665814,2.962370893475887,0.63,0.48
150,5.0,0.7561230659484863,0,0.0027145742631169423,-36.86060134254614,3.195254099277582,0.62,0.48
200,0.1,0.34096193313598633,0,0.0012898437677910657,-57.49957899251685,2.5453132304760375,0.58,0.49
200,0.5,0.5406010150909424,0,0.0023945580993174342,-55.620893654669516,2.8756568705961665,0.58,0.49
200,1.0,0.6485648155212402,0,0.003414414004655253,-55.418301676966955,3.0116696816783275,0.58,0.49
200,5.0,0.8583378791809082,0,0.005916969952710627,-55.13551224200559,3.1117398918582957,0.58,0.49
250,0.1,0.4635140895843506,0,0.001643817681480142,-68.8750518806054,2.6200263996820383,0.57,0.49
250,0.5,0.7173449993133545,0,0.003994784590413358,-67.11117527595874,2.8841803660327225,0.58,0.49
250,1.0,0.8943490982055664,0,0.0008303791591368626,-66.87432532809065,2.965646163420005,0.58,0.49
250,5.0,1.0908539295196533,0,0.007931694682669743,-66.71320336645523,3.1768404063355624,0.58,0.49
300,0.1,0.4564371109008789,0,0.001507184345469259,-82.84745505979933,2.6687435766695637,0.56,0.5
300,0.5,0.832273006439209,0,0.002253902181173384,-81.2672846178531,2.9317306624370985,0.56,0.5
300,1.0,0.9363999366760254,0,0.0026717649191714266,-80.99056929691135,2.991695604559372,0.56,0.5
300,5.0,1.3446550369262695,0,0.0031397387915039765,-80.76892729953946,3.119028672491491,0.56,0.5
350,0.1,0.6196348667144775,0,0.0012503313090646007,-95.85153698307043,2.7243757924293766,0.58,0.49
350,0.5,1.0017080307006836,0,0.0025432716640760855,-94.27149674454795,2.9692055438166007,0.6,0.49
350,1.0,1.1152770519256592,0,0.0013243965955123116,-93.95411660428285,2.9921631501119816,0.59,0.49
350,5.0,1.6072120666503906,0,0.003883966833566843,-93.7596738720735,3.132249729348784,0.6,0.49
400,0.1,0.7180490493774414,0,0.001438780005585949,-104.2505769665682,2.7307459415708615,0.58,0.49
400,0.5,1.284696102142334,0,0.0006247857161250092,-102.73589196935372,2.9755876086929063,0.58,0.49
400,1.0,1.4787521362304688,0,0.0010680096254562788,-102.44703272080187,2.9928953674460006,0.59,0.49
400,5.0,1.9176299571990967,0,0.004132179166711714,-102.16396169655422,3.0479467285741926,0.58,0.49
450,0.1,0.8877670764923096,0,0.0004486010448847555,-112.77280292154701,2.7781162521486227,0.61,0.49
450,0.5,1.3153681755065918,0,0.0025187561609507636,-111.22672849114622,2.990494941531813,0.62,0.49
450,1.0,1.554961919784546,0,0.0013646229990631475,-111.00359242789185,3.047464596905553,0.62,0.49
450,5.0,2.2689459323883057,0,0.0035598737708915085,-110.64283332854484,3.026218436027212,0.61,0.49
500,0.1,1.0223231315612793,0,0.002208306891941625,-124.80489089920349,2.7686374279100394,0.63,0.48
500,0.5,1.5468571186065674,0,0.0020651615128928213,-123.38892494746791,2.9846259396683203,0.62,0.48
500,1.0,1.8893020153045654,0,0.0023261552058571056,-123.0866285304885,2.994302852807628,0.63,0.48
500,5.0,2.567366123199463,0,0.006292155629181506,-122.8633957263953,3.0892399238354167,0.63,0.48
550,0.1,1.1422688961029053,0,0.0018478563228496725,-136.27392966452408,2.7773560040253904,0.62,0.48
550,0.5,1.8776750564575195,0,0.0027475717459781723,-134.8169372298265,3.0029165671236053,0.63,0.48
